num_trump,right_bower,left_bower,trump_ace,trump_king,trump_queen,trump_ten,trump_nine,offsuit_aces,flipped_jack,flipped_ace,seat_position,bidding_round,bid_win_rate,bid_expected_score,not_bid_win_rate,not_bid_expected_score,alone_win_rate,alone_expected_score,should_bid,should_alone
0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333333333333333,-1.9,0.33962264150943394,-0.3523035230352303,,,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0.168141592920354,-1.4867256637168142,0.34239592183517414,-0.49787595581988103,,,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,-2.0,0.46373626373626375,-0.10891089108910891,,,0,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0.10869565217391304,-1.673913043478261,0.18046709129511676,-1.1358811040339702,,,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,-2.0,0.37755102040816324,-0.3020833333333333,,,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0.06060606060606061,-1.8181818181818181,0.3096774193548387,-0.603225806451613,,,0,0
0,0,0,0,0,0,0,0,0,0,1,2,0,0.0,-2.0,0.44176706827309237,-0.17670682730923695,,,0,0
0,0,0,0,0,0,0,0,0,0,1,3,0,0.17647058823529413,-1.411764705882353,0.17857142857142858,-1.1357142857142857,,,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0.26666666666666666,-1.2,0.39568345323741005,-0.15942028985507245,,,0,0
0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,-2.0,0.27303754266211605,-0.764505119453925,,,0,0
0,0,0,0,0,0,0,0,0,1,0,2,0,0.0,-2.0,0.6419753086419753,0.4403292181069959,,,0,0
0,0,0,0,0,0,0,0,0,1,0,3,0,0.07692307692307693,-1.7692307692307692,0.10759493670886076,-1.4556962025316456,,,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0.07894736842105263,-1.763157894736842,0.4042904290429043,-0.08112582781456953,,,0,0
0,0,0,0,0,0,0,0,1,0,0,1,0,0.1717171717171717,-1.47979797979798,0.39965095986038396,-0.22118742724097787,,,0,0
0,0,0,0,0,0,0,0,1,0,0,2,0,0.0,-2.0,0.5463029432878679,0.10057471264367816,,,0,0
0,0,0,0,0,0,0,0,1,0,0,3,0,0.1232876712328767,-1.63013698630137,0.25471698113207547,-0.8315363881401617,,,0,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,-2.0,0.37037037037037035,-0.26595744680851063,,,0,0
0,0,0,0,0,0,0,0,1,0,1,1,0,0.23076923076923078,-1.2820512820512822,0.37813211845102507,-0.27107061503416857,,,0,0
0,0,0,0,0,0,0,0,1,0,1,2,0,0.0,-2.0,0.5187319884726225,-0.06628242074927954,,,0,0
0,0,0,0,0,0,0,0,1,0,1,3,0,0.3333333333333333,-1.0,0.21212121212121213,-1.0151515151515151,,,1,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0.35036496350364965,-0.9416058394160584,0.41237113402061853,0.052083333333333336,,,0,0
0,0,0,0,0,0,0,0,1,1,0,1,0,0.07894736842105263,-1.763157894736842,0.32009345794392524,-0.5070093457943925,,,0,0
0,0,0,0,0,0,0,0,1,1,0,2,0,0.0,-2.0,0.6589147286821705,0.4418604651162791,,,0,0
0,0,0,0,0,0,0,0,1,1,0,3,0,0.23333333333333334,-1.3,0.18695652173913044,-1.1478260869565218,,,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0.2903225806451613,-1.096774193548387,0.4549019607843137,0.17391304347826086,,,0,0
0,0,0,0,0,0,0,0,2,0,0,1,0,0.2345679012345679,-1.2839506172839505,0.4649390243902439,0.0701219512195122,,,0,0
0,0,0,0,0,0,0,0,2,0,0,2,0,0.029850746268656716,-1.9104477611940298,0.6142857142857143,0.2910714285714286,,,0,0
0,0,0,0,0,0,0,0,2,0,0,3,0,0.13333333333333333,-1.6,0.2779552715654952,-0.6837060702875399,,,0,0
0,0,0,0,0,0,0,0,2,0,1,0,0,0.2619047619047619,-1.2142857142857142,0.3488372093023256,-0.07142857142857142,,,0,0
0,0,0,0,0,0,0,0,2,0,1,1,0,0.14285714285714285,-1.5714285714285714,0.37333333333333335,-0.23333333333333334,,,0,0
0,0,0,0,0,0,0,0,2,0,1,2,0,0.05263157894736842,-1.8421052631578947,0.706766917293233,0.7819548872180451,,,0,0
0,0,0,0,0,0,0,0,2,0,1,3,0,0.2,-1.3,0.275,-0.8125,,,0,0
0,0,0,0,0,0,0,0,2,1,0,0,0,0.5638297872340425,-0.2553191489361702,0.375,-0.75,,,1,0
0,0,0,0,0,0,0,0,2,1,0,1,0,0.0625,-1.8125,0.33548387096774196,-0.41935483870967744,,,0,0
0,0,0,0,0,0,0,0,2,1,0,2,0,0.0,-2.0,0.7741935483870968,0.7225806451612903,,,0,0
0,0,0,0,0,0,0,0,2,1,0,3,0,0.3333333333333333,-1.0,0.2708333333333333,-0.7916666666666666,,,0,0
0,0,0,0,0,0,0,0,3,0,0,0,0,0.39285714285714285,-0.8214285714285714,0.6666666666666666,1.6666666666666667,,,0,0
0,0,0,0,0,0,0,0,3,0,0,1,0,0.3,-1.1,0.47619047619047616,0.07142857142857142,,,0,0
0,0,0,0,0,0,0,0,3,0,0,2,0,0.0,-2.0,0.7758620689655172,1.206896551724138,,,0,0
0,0,0,0,0,0,0,0,3,0,0,3,0,0.0,-2.0,0.47058823529411764,0.0,,,0,0
0,0,0,0,0,0,0,0,3,0,1,1,0,0.6666666666666666,0.0,0.5454545454545454,0.36363636363636365,,,0,0
0,0,0,0,0,0,0,0,3,0,1,2,0,0.0,-2.0,0.7058823529411765,0.5882352941176471,,,0,0
0,0,0,0,0,0,0,0,3,0,1,3,0,0.0,-2.0,0.6,0.5,,,0,0
0,0,0,0,0,0,0,0,3,1,0,0,0,1.0,1.0,1.0,2.0,,,0,0
0,0,0,0,0,0,0,0,3,1,0,2,0,0.0,-2.0,0.8,1.5,,,0,0
0,0,0,0,0,0,0,0,3,1,0,3,0,0.0,-2.0,0.375,0.375,,,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0.09090909090909091,-1.7272727272727273,0.28804347826086957,-0.5274725274725275,,,0,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0.15789473684210525,-1.5263157894736843,0.34096109839816935,-0.591743119266055,,,0,0
1,0,0,0,0,0,0,1,0,0,0,2,0,0.0,-2.0,0.5587392550143266,0.17478510028653296,,,0,0
1,0,0,0,0,0,0,1,0,0,0,3,0,0.058823529411764705,-1.8235294117647058,0.22274881516587677,-1.1516587677725119,,,0,0
1,0,0,0,0,0,0,1,0,0,1,0,0,0.1111111111111111,-1.6666666666666667,0.26153846153846155,-0.6307692307692307,,,0,0
1,0,0,0,0,0,0,1,0,0,1,1,0,0.2857142857142857,-1.1428571428571428,0.296551724137931,-0.6482758620689655,,,0,0
1,0,0,0,0,0,0,1,0,0,1,2,0,0.0,-2.0,0.5,-0.21014492753623187,,,0,0
1,0,0,0,0,0,0,1,0,0,1,3,0,0.16666666666666666,-1.5,0.2,-0.9714285714285714,,,0,0
